"cty","dist","vil","dist.pop","dist.dnty"
"新北市","板橋區","",555914,24026.74469
"新北市","三重區","",389325,23860.08457
"新北市","中和區","",415226,20612.88721
"新北市","永和區","",227267,39775.10588
"新北市","新莊區","",411711,20858.48325
"新北市","新店區","",299730,2493.065115
"新北市","樹林區","",184167,5559.120765
"新北市","鶯歌區","",89075,4216.607968
"新北市","三峽區","",111588,582.8547073
"新北市","淡水區","",158953,2249.658559
"新北市","汐止區","",195140,2739.368348
"新北市","瑞芳區","",41315,584.0929912
"新北市","土城區","",239270,8094.986772
"新北市","蘆洲區","",199750,26865.81216
"新北市","五股區","",82255,2359.364602
"新北市","泰山區","",78370,4090.228232
"新北市","林口區","",97645,1803.168495
"新北市","深坑區","",23636,1148.566236
"新北市","石碇區","",7864,54.47877309
"新北市","坪林區","",6455,37.78499722
"新北市","三芝區","",23480,355.8066339
"新北市","石門區","",12733,248.3785075
"新北市","八里區","",37187,941.6027529
"新北市","平溪區","",4954,69.44386037
"新北市","雙溪區","",9450,64.61609153
"新北市","貢寮區","",13115,131.1848952
"新北市","金山區","",22400,455.1624361
"新北市","萬里區","",22678,357.8292303
"新北市","烏來區","",6165,19.19779678
"臺北市","松山區","",210473,22661.23302
"臺北市","信義區","",229657,20491.00172
"臺北市","大安區","",313693,27610.41773
"臺北市","中山區","",230496,16846.53672
"臺北市","中正區","",163388,21478.35575
"臺北市","大同區","",130973,23052.53894
"臺北市","萬華區","",194715,21996.22693
"臺北市","文山區","",273921,8693.420927
"臺北市","南港區","",121257,5551.45039
"臺北市","內湖區","",285767,9049.35922
"臺北市","士林區","",290455,4657.100894
"臺北市","北投區","",257520,4532.07935
"臺中市","中區","",19323,21950.47143
"臺中市","東區","",74922,8068.709278
"臺中市","南區","",120128,17639.68224
"臺中市","西區","",115731,20288.73462
"臺中市","北區","",147471,21256.77468
"臺中市","西屯區","",218540,5484.519421
"臺中市","南屯區","",161906,5179.699147
"臺中市","北屯區","",259742,4142.391003
"臺中市","豐原區","",166458,4041.763285
"臺中市","東勢區","",51485,438.5191621
"臺中市","大甲區","",77607,1326.180125
"臺中市","清水區","",85957,1339.501238
"臺中市","沙鹿區","",87742,2168.589534
"臺中市","梧棲區","",56643,3411.221989
"臺中市","后里區","",54106,917.9236528
"臺中市","神岡區","",64956,1853.529084
"臺中市","潭子區","",105165,4068.325745
"臺中市","大雅區","",92628,2857.927426
"臺中市","新社區","",25242,366.4240485
"臺中市","石岡區","",15405,845.9405288
"臺中市","外埔區","",31800,749.824923
"臺中市","大安區","",19654,717.1814848
"臺中市","烏日區","",71520,1647.80477
"臺中市","大肚區","",56364,1523.252546
"臺中市","龍井區","",76164,2002.329268
"臺中市","霧峰區","",64496,657.5997243
"臺中市","太平區","",181537,1503.445626
"臺中市","大里區","",206318,7145.014164
"臺中市","和平區","",10825,10.43052586
"臺南市","新營區","",78231,2029.938815
"臺南市","鹽水區","",26322,503.8137256
"臺南市","白河區","",29731,235.2050479
"臺南市","柳營區","",21828,356.1260766
"臺南市","後壁區","",24589,340.4787389
"臺南市","東山區","",21920,175.4753926
"臺南市","麻豆區","",45067,834.9699117
"臺南市","下營區","",25068,747.6490571
"臺南市","六甲區","",22832,338.0159918
"臺南市","官田區","",21706,306.6022744
"臺南市","大內區","",10248,145.7493333
"臺南市","佳里區","",59533,1528.75287
"臺南市","學甲區","",26949,499.1304251
"臺南市","西港區","",24896,737.2966186
"臺南市","七股區","",23608,214.3274758
"臺南市","將軍區","",20568,489.9522625
"臺南市","北門區","",11691,265.1002374
"臺南市","新化區","",43782,705.5024421
"臺南市","善化區","",46100,833.4885201
"臺南市","新市區","",35482,742.1522037
"臺南市","安定區","",30298,968.9158938
"臺南市","山上區","",7500,269.0293421
"臺南市","玉井區","",14561,190.6733607
"臺南市","楠西區","",10116,92.27266591
"臺南市","南化區","",9001,52.47790634
"臺南市","左鎮區","",5181,69.1699209
"臺南市","仁德區","",73099,1439.909074
"臺南市","歸仁區","",67504,1209.93775
"臺南市","關廟區","",34865,649.9656049
"臺南市","龍崎區","",4292,66.97731323
"臺南市","永康區","",228651,5677.20166
"臺南市","東區","",190233,14179.9845
"臺南市","南區","",125691,4609.45207
"臺南市","北區","",132558,12704.42783
"臺南市","安南區","",187775,1751.606319
"臺南市","安平區","",64898,5864.471413
"臺南市","中西區","",77910,12445.6869
"高雄市","鹽埕區","",25400,17936.5864
"高雄市","鼓山區","",135667,9196.328708
"高雄市","左營區","",195643,10093.9001
"高雄市","楠梓區","",178532,6912.450247
"高雄市","三民區","",347619,17568.40488
"高雄市","新興區","",52534,26580.65169
"高雄市","前金區","",27832,14985.19356
"高雄市","苓雅區","",175854,21571.35497
"高雄市","前鎮區","",193952,10143.56169
"高雄市","旗津區","",28958,19781.40583
"高雄市","小港區","",156171,3789.997112
"高雄市","鳳山區","",354093,13232.66938
"高雄市","林園區","",70476,2182.865638
"高雄市","大寮區","",111191,1565.188626
"高雄市","大樹區","",43190,644.8087595
"高雄市","大社區","",34455,1296.041347
"高雄市","仁武區","",80994,2244.795016
"高雄市","鳥松區","",43735,1778.373257
"高雄市","岡山區","",97751,2038.938636
"高雄市","橋頭區","",37198,1434.117643
"高雄市","燕巢區","",30397,464.8214695
"高雄市","田寮區","",7680,82.86559589
"高雄市","阿蓮區","",29566,854.1038352
"高雄市","路竹區","",53064,1095.575908
"高雄市","湖內區","",29399,1458.175235
"高雄市","茄萣區","",30690,1947.038522
"高雄市","永安區","",14148,625.6273741
"高雄市","彌陀區","",19854,1343.556289
"高雄市","梓官區","",36384,3137.444273
"高雄市","旗山區","",38100,402.696481
"高雄市","美濃區","",41258,343.7261521
"高雄市","六龜區","",13663,70.370378
"高雄市","甲仙區","",6420,51.76000129
"高雄市","杉林區","",12531,120.4862139
"高雄市","內門區","",15178,158.7284988
"高雄市","茂林區","",1915,9.871134021
"高雄市","桃源區","",4296,4.624426791
"高雄市","那瑪夏區","",3204,12.66455722
"宜蘭縣","宜蘭市","",95885,3260.507345
"宜蘭縣","羅東鎮","",72533,6393.501869
"宜蘭縣","蘇澳鎮","",41018,460.7749305
"宜蘭縣","頭城鎮","",29890,296.2544478
"宜蘭縣","礁溪鄉","",35945,354.3900193
"宜蘭縣","壯圍鄉","",24492,636.5377668
"宜蘭縣","員山鄉","",32377,289.3112895
"宜蘭縣","冬山鄉","",53482,669.7196124
"宜蘭縣","五結鄉","",39378,1013.144793
"宜蘭縣","三星鄉","",21503,149.0946709
"宜蘭縣","大同鄉","",6127,9.318004782
"宜蘭縣","南澳鄉","",6147,8.299444273
"桃園縣","桃園市","",417366,11991.69075
"桃園縣","中壢市","",381449,4984.958181
"桃園縣","平鎮市","",212328,4446.36171
"桃園縣","八德市","",181431,5381.936513
"桃園縣","楊梅市","",157200,1763.856427
"桃園縣","大溪鎮","",91887,874.1103076
"桃園縣","蘆竹鄉","",151354,2004.622363
"桃園縣","大園鄉","",84531,967.2569156
"桃園縣","龜山鄉","",141998,1971.709732
"桃園縣","龍潭鄉","",116211,1544.658606
"桃園縣","新屋鄉","",48058,565.2778399
"桃園縣","觀音鄉","",63602,722.908547
"桃園縣","復興鄉","",10913,31.11088938
"新竹縣","竹北市","",165118,3525.593531
"新竹縣","關西鎮","",30751,244.9902127
"新竹縣","新埔鎮","",34427,476.8870401
"新竹縣","竹東鎮","",96059,1795.049081
"新竹縣","湖口鄉","",77210,1321.40345
"新竹縣","橫山鄉","",13810,208.1380312
"新竹縣","新豐鄉","",55826,1204.454839
"新竹縣","芎林鄉","",20301,497.7467648
"新竹縣","寶山鄉","",14365,221.7262387
"新竹縣","北埔鄉","",9784,193.101706
"新竹縣","峨眉鄉","",5744,122.7324202
"新竹縣","尖石鄉","",9506,18.01813755
"新竹縣","五峰鄉","",4729,20.76600155
"苗栗縣","苗栗市","",90963,2400.851989
"苗栗縣","苑裡鎮","",48589,711.9549052
"苗栗縣","通霄鎮","",36941,342.5264677
"苗栗縣","竹南鎮","",83622,2226.405248
"苗栗縣","頭份鎮","",102654,1925.225757
"苗栗縣","後龍鎮","",38360,506.0158638
"苗栗縣","卓蘭鎮","",18353,240.4891287
"苗栗縣","大湖鄉","",15549,171.1698422
"苗栗縣","公館鄉","",34847,487.6959874
"苗栗縣","銅鑼鄉","",18909,241.2462283
"苗栗縣","南庄鄉","",10674,64.49788451
"苗栗縣","頭屋鄉","",11377,216.6857761
"苗栗縣","三義鄉","",17235,248.5492282
"苗栗縣","西湖鄉","",7589,184.7559877
"苗栗縣","造橋鄉","",13456,280.3461825
"苗栗縣","三灣鄉","",7132,136.3765001
"苗栗縣","獅潭鄉","",4725,59.48454283
"苗栗縣","泰安鄉","",6157,10.019321
"彰化縣","彰化市","",235022,3577.487986
"彰化縣","鹿港鎮","",86100,2181.818182
"彰化縣","和美鎮","",90741,2272.245803
"彰化縣","北斗鎮","",33198,1724.150467
"彰化縣","員林鎮","",124725,3115.165593
"彰化縣","溪湖鎮","",55788,1740.155712
"彰化縣","田中鎮","",42745,1235.204707
"彰化縣","二林鎮","",52330,563.610554
"彰化縣","線西鄉","",17119,946.5541646
"彰化縣","伸港鄉","",36182,1620.563628
"彰化縣","福興鄉","",47810,958.242974
"彰化縣","秀水鄉","",39326,1340.139787
"彰化縣","花壇鄉","",45916,1263.271421
"彰化縣","芬園鄉","",24155,635.3168299
"彰化縣","大村鄉","",36457,1184.295585
"彰化縣","埔鹽鄉","",33184,859.5087559
"彰化縣","埔心鄉","",34905,1665.903038
"彰化縣","永靖鄉","",38200,1850.936613
"彰化縣","社頭鄉","",43705,1209.160905
"彰化縣","二水鄉","",15830,537.6143237
"彰化縣","田尾鄉","",27834,1157.940718
"彰化縣","埤頭鄉","",31045,726.185241
"彰化縣","芳苑鄉","",34744,380.2032551
"彰化縣","大城鄉","",17797,279.2097972
"彰化縣","竹塘鄉","",15863,376.201792
"彰化縣","溪州鄉","",30753,405.5465443
"南投縣","南投市","",102314,1428.924571
"南投縣","埔里鎮","",83021,511.7717804
"南投縣","草屯鎮","",99209,953.6328481
"南投縣","竹山鎮","",56662,229.0911193
"南投縣","集集鎮","",11390,229.0515376
"南投縣","名間鄉","",40019,481.6024935
"南投縣","鹿谷鄉","",18538,130.643046
"南投縣","中寮鄉","",15566,106.1409125
"南投縣","魚池鄉","",16501,135.9522466
"南投縣","國姓鄉","",19715,112.2056274
"南投縣","水里鄉","",18717,175.1832606
"南投縣","信義鄉","",16813,11.82000688
"南投縣","仁愛鄉","",15850,12.44571001
"雲林縣","斗六市","",108098,1153.474734
"雲林縣","斗南鎮","",46013,955.6079376
"雲林縣","虎尾鎮","",70269,1022.213494
"雲林縣","西螺鎮","",47187,947.5586614
"雲林縣","土庫鎮","",29697,605.7991236
"雲林縣","北港鎮","",41528,1000.67711
"雲林縣","古坑鄉","",32686,196.18753
"雲林縣","大埤鄉","",19989,444.2266536
"雲林縣","莿桐鄉","",29599,582.082273
"雲林縣","林內鄉","",18970,504.4743176
"雲林縣","二崙鄉","",28323,475.5173137
"雲林縣","崙背鄉","",25896,442.787771
"雲林縣","麥寮鄉","",43880,547.358757
"雲林縣","東勢鄉","",15865,328.0861606
"雲林縣","褒忠鄉","",13605,367.1549472
"雲林縣","臺西鄉","",24995,462.0293059
"雲林縣","元長鄉","",27307,381.4508739
"雲林縣","四湖鄉","",25415,329.5560492
"雲林縣","口湖鄉","",29017,360.6334482
"雲林縣","水林鄉","",27017,370.3079297
"嘉義縣","太保市","",37038,553.6620805
"嘉義縣","朴子市","",43250,872.4384099
"嘉義縣","布袋鎮","",28423,460.4354073
"嘉義縣","大林鎮","",32159,501.1820847
"嘉義縣","民雄鄉","",71903,841.0012527
"嘉義縣","溪口鄉","",15393,465.8010125
"嘉義縣","新港鄉","",33186,502.4413508
"嘉義縣","六腳鄉","",24613,395.3139882
"嘉義縣","東石鄉","",26235,321.5778952
"嘉義縣","義竹鄉","",19578,246.9085979
"嘉義縣","鹿草鄉","",16384,301.6472399
"嘉義縣","水上鄉","",50726,733.8852254
"嘉義縣","中埔鄉","",46156,356.4125849
"嘉義縣","竹崎鄉","",36924,227.6089594
"嘉義縣","梅山鄉","",20304,169.5431837
"嘉義縣","番路鄉","",12089,102.8615577
"嘉義縣","大埔鄉","",4658,26.88643741
"嘉義縣","阿里山鄉","",5764,13.47210253
"屏東縣","屏東市","",203866,3133.170424
"屏東縣","潮州鎮","",54738,1289.983527
"屏東縣","東港鎮","",48262,1638.026711
"屏東縣","恆春鎮","",30859,225.6385133
"屏東縣","萬丹鄉","",52085,906.3320567
"屏東縣","長治鄉","",30429,762.8973502
"屏東縣","麟洛鄉","",11313,695.7564576
"屏東縣","九如鄉","",22172,527.6698232
"屏東縣","里港鄉","",26814,389.0552634
"屏東縣","鹽埔鄉","",26629,413.8195753
"屏東縣","高樹鄉","",25520,283.0768412
"屏東縣","萬巒鄉","",20918,344.4341075
"屏東縣","內埔鄉","",56148,685.9413063
"屏東縣","竹田鄉","",17719,609.4616348
"屏東縣","新埤鄉","",10232,173.3937523
"屏東縣","枋寮鄉","",25482,441.363686
"屏東縣","新園鄉","",36692,957.7430966
"屏東縣","崁頂鄉","",16374,523.7015407
"屏東縣","林邊鄉","",19235,1231.173952
"屏東縣","南州鄉","",11026,581.2335266
"屏東縣","佳冬鄉","",20247,653.4620871
"屏東縣","琉球鄉","",12675,1863.477315
"屏東縣","車城鄉","",9121,182.9626673
"屏東縣","滿州鄉","",8126,57.14434397
"屏東縣","枋山鄉","",5749,332.8951864
"屏東縣","三地門鄉","",7784,39.63410753
"屏東縣","霧臺鄉","",3435,12.32083674
"屏東縣","瑪家鄉","",6718,85.36126698
"屏東縣","泰武鄉","",5289,44.58527851
"屏東縣","來義鄉","",7648,45.58469766
"屏東縣","春日鄉","",4866,30.41230992
"屏東縣","獅子鄉","",4882,16.21917211
"屏東縣","牡丹鄉","",4864,26.7492903
"臺東縣","臺東市","",106929,974.1265985
"臺東縣","成功鎮","",14943,103.7752294
"臺東縣","關山鎮","",9111,155.1201922
"臺東縣","卑南鄉","",17700,42.88963721
"臺東縣","大武鄉","",6565,94.94485533
"臺東縣","太麻里鄉","",11507,119.0556252
"臺東縣","東河鄉","",9000,42.81823943
"臺東縣","長濱鄉","",7756,49.97847755
"臺東縣","鹿野鄉","",8202,91.44016589
"臺東縣","池上鄉","",8591,103.8998421
"臺東縣","綠島鄉","",3808,252.3207813
"臺東縣","延平鄉","",3614,7.927516092
"臺東縣","海端鄉","",4378,4.974784049
"臺東縣","達仁鄉","",3721,12.1424567
"臺東縣","金峰鄉","",3669,9.638433945
"臺東縣","蘭嶼鄉","",4976,102.8328635
"花蓮縣","花蓮市","",106368,3616.790493
"花蓮縣","鳳林鎮","",11237,93.23910682
"花蓮縣","玉里鎮","",25396,100.6292697
"花蓮縣","新城鄉","",20286,689.7771128
"花蓮縣","吉安鄉","",82577,1265.388871
"花蓮縣","壽豐鄉","",18237,83.485622
"花蓮縣","光復鄉","",13395,85.25873592
"花蓮縣","豐濱鄉","",4706,28.97190968
"花蓮縣","瑞穗鄉","",12107,89.29374818
"花蓮縣","富里鄉","",10849,61.51255454
"花蓮縣","秀林鄉","",15494,9.436884062
"花蓮縣","萬榮鄉","",6530,10.55795476
"花蓮縣","卓溪鄉","",6210,6.080408259
"澎湖縣","馬公市","",60335,1774.986909
"澎湖縣","湖西鄉","",14315,429.8695527
"澎湖縣","白沙鄉","",9799,487.8158058
"澎湖縣","西嶼鄉","",8438,450.8731058
"澎湖縣","望安鄉","",5117,371.270606
"澎湖縣","七美鄉","",3754,537.2989065
"基隆市","中正區","",53094,5199.279265
"基隆市","七堵區","",53974,959.2666251
"基隆市","暖暖區","",38188,1672.83591
"基隆市","仁愛區","",46244,10923.34947
"基隆市","中山區","",48733,4630.741747
"基隆市","安樂區","",81580,4525.9362
"基隆市","信義區","",51264,4804.228441
"新竹市","東區","",206843,6160.295204
"新竹市","北區","",148753,9458.627684
"新竹市","香山區","",76392,1392.7667
"嘉義市","東區","",123370,4091.114088
"嘉義市","西區","",147513,4938.500167
"金門縣","金城鎮","",40933,1885.183991
"金門縣","金湖鎮","",27368,656.3699156
"金門縣","金沙鎮","",19465,472.5661568
"金門縣","金寧鄉","",27307,914.6847994
"金門縣","烈嶼鄉","",11978,748.4846591
"金門縣","烏坵鄉","",672,560
"連江縣","南竿鄉","",7496,720.7692308
"連江縣","北竿鄉","",2320,234.3434343
"連江縣","莒光鄉","",1424,302.9787234
"連江縣","東引鄉","",1266,333.1578947
